구별,소계,2014년이전,2015년,2016년,2017년,2018년
강 남 구,5221,2885,546,765,577,448
강 동 구,1879,883,144,194,273,385
강 북 구,1265,546,145,254,1,319
강 서 구,1617,722,187,190,264,254
관 악 구,3985,1392,609,619,694,671
광 진 구,1581,682,64,21,468,346
구 로 구,3227,1607,268,326,540,486
금 천 구,1634,387,382,136,199,530
노 원 구,1906,881,461,298,110,156
도 봉 구,858,456,59,155,117,71
동대문구,2003,1326,111,233,136,197
동 작 구,1780,863,130,254,278,255
마 포 구,1935,832,177,359,372,195
서대문구,2121,1126,109,277,415,194
서 초 구,2835,1625,215,352,247,396
성 동 구,2679,993,258,201,933,294
성 북 구,3003,1408,279,388,285,643
송 파 구,1586,808,166,100,116,396
양 천 구,2775,1287,172,349,137,830
영등포구,2495,676,366,289,371,793
용 산 구,2063,1739,102,89,60,73
은 평 구,2962,1890,180,296,229,367
종 로 구,1471,746,195,148,281,101
중     구,1544,384,245,270,317,328
중 랑 구,1068,770,102,121,66,9
