사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
기량,"경상남도 사천시 벌리1길 16, 103호 (벌리동, 비룡데파트)",20131108,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
두남자찜닭(효자점),"경상북도 포항시 남구 효성로30번길 25-6, 1층 (효자동)",20150520,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
타워치킨,"경상남도 창원시 마산회원구 양덕로 153, 2층 208호 (양덕동, 한일타운2차상가)",20150521,운영중,통닭(치킨),344005.710411,293927.648342,128.5818859179058,35.231523041358216
장수옛날통닭,"경기도 부천시 소사구 송내대로42번길 61, 1층일부호 (송내동)",20150522,운영중,통닭(치킨),178489.420403,543109.610976,126.75677942103894,37.48718499180754
항아리치킨,충청북도 괴산군 칠성면 칠성로 4,20150520,운영중,통닭(치킨),277009.070184,465754.894223,127.86275039430883,36.7872931191994
팔도궁중찜닭,대구광역시 수성구 달구벌대로627길 50 (매호동),20150520,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
대흥불닭발,"경상남도 창원시 마산합포구 월영동서로 1, 2층 (해운동)",20150520,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
참불닭,경상북도 경주시 안강읍 화전북1길 9-1,20140711,운영중,통닭(치킨),400019.902528,379351.552055,129.21799124648035,35.99126793465512
둘마니치킨백석점,"충청남도 천안시 서북구 백석2길 12, 1층 101호 (백석동, 호반리젠시빌어린이집)",20150522,운영중,통닭(치킨),210551.770694,468797.788983,127.11826204756359,36.817783085143105
꼬~우치킨,"경기도 안산시 상록구 예술대학로 224, 1층 (월피동)",20150522,운영중,통닭(치킨),186087.221023,526290.042766,126.84300412913392,37.33578357062137
치킨마루,"서울특별시 강북구 솔샘로 251, 1층 (미아동)",20150522,운영중,통닭(치킨),201827.592636,557792.894904,127.02070127468556,37.61972961182493
꿀마니닭강정가은점,경상북도 문경시 가은읍 대야로 2456,20150522,운영중,통닭(치킨),294851.085358,450524.534403,128.06072189427275,36.648454507693764
B.H.C치킨문경모전점,"경상북도 문경시 당교6길 25, 103-104호 (모전동, 코아루상가)",20150522,운영중,통닭(치킨),305977.16605,443290.602765,128.18412516355733,36.5821077444575
스모프치킨,전라북도 남원시 인월면 인월로 78,20010628,운영중,통닭(치킨),254819.51624,318427.087286,127.60391483803879,35.46117158216142
닭사마,전라북도 남원시 동림로 111 (향교동),20110513,운영중,통닭(치킨),234872.888072,313486.685102,127.38396857719732,35.4175432171842
비에이치씨치킨(BHC),서울특별시 중랑구 면목로61길 8 (면목동),20150515,운영중,통닭(치킨),207766.43127,554026.966692,127.0879309412849,37.58576802474667
박군치킨주문진점,강원도 강릉시 주문진읍 연주로 317-1,20150430,운영중,통닭(치킨),360644.410526,588327.085843,128.8259550796326,37.880670940505034
옛날시골통닭 낙양점,경상북도 상주시 경상대로 2943 (낙양동),20150402,운영중,통닭(치킨),303242.855499,424152.234524,128.15102435180276,36.40997517470168
꼬꼬통닭,경상북도 상주시 서문길 70 (서문동),20150420,운영중,통닭(치킨),303619.667086,424916.342826,128.1553265060869,36.41681913443293
디디치킨 상주1호점,경상북도 상주시 문무2길 22 (서문동),20150421,운영중,통닭(치킨),303477.515687,424905.218232,128.15374037081008,36.416734226347316
썬더치킨 남상주 경북대점,경상북도 상주시 경상대로 2560-117 (가장동),20150430,운영중,통닭(치킨),303002.995873,420441.43559,128.14785897895626,36.376566878625965
인디스치킨,"경상북도 구미시 상사동로18길 14, 1층 (사곡동)",20150518,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
한양왕족발보쌈,"부산광역시 부산진구 대학로 65-1, 1층 (가야동)",20080414,운영중,통닭(치킨),385408.593685,285621.217667,129.03459780827183,35.14990380795802
뿔난닭두마리,"부산광역시 부산진구 당감로64번길 55 (부암동, 지상1층일부)",20130711,운영중,통닭(치킨),385996.638413,287674.687601,129.0415094214931,35.16829266897319
신꼬꼬닭발,"부산광역시 부산진구 새싹로 268, 1층 (초읍동)",20080501,운영중,통닭(치킨),386530.705479,288980.163432,129.04766300341788,35.1799532239188
썬더치킨신암1호점,"부산광역시 부산진구 신암로 73, 1층 (범천동)",19821115,운영중,통닭(치킨),387174.652956,285450.733637,129.053928187812,35.14804120313417
비에이치씨(BHC)치킨,"부산광역시 부산진구 동평로44번길 62-16, 1층 (당감동)",20120410,운영중,통닭(치킨),385424.817098,287152.114242,129.0351192843769,35.16369098167798
멕시카나,"부산광역시 부산진구 가야대로 635-12 (당감동, 금호그랜드타운지하103호)",20120925,운영중,통닭(치킨),386035.823568,286348.005235,129.0416404958783,35.15633486127935
굽네치킨초읍연지점,부산광역시 부산진구 성지로104번길 46 (초읍동),20070411,운영중,통닭(치킨),387004.667055,289121.347004,129.0528949945777,35.18113691445585
블랙타운치킨호프,"부산광역시 부산진구 가야대로703번길 39, 2층 (당감동)",20070621,운영중,통닭(치킨),386652.102203,286638.266257,129.04846554496058,35.15883534129725
썬더치킨초읍자이점,"부산광역시 부산진구 새싹로 199 (초읍동,(1층))",20100617,운영중,통닭(치킨),386662.601786,288312.13132,129.04895902481425,35.173911247875324
치킨,"부산광역시 부산진구 중앙대로 604 (범천동,(2층))",20110906,운영중,통닭(치킨),387625.343164,285298.594702,129.058836390436,35.14658685053977
옛날통닭,"부산광역시 부산진구 새싹로14번길 29 (부전동, 지상1층일부)",20140829,운영중,통닭(치킨),387602.022987,286822.052923,129.05892647481636,35.16031415951129
서면가야밀면충무김밥,"부산광역시 부산진구 중앙대로680번가길 38, 지상1층 (부전동)",20051214,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
닥도날드,"부산광역시 부산진구 중앙대로979번길 18, 1층 (양정동)",20141112,운영중,통닭(치킨),388882.145315,288734.743193,129.0734051039721,35.17730349678109
압구정알카리치킨,"부산광역시 부산진구 가야대로755번길 6 (부전동, 지상1층일부)",20141114,운영중,통닭(치킨),387183.804253,286555.204212,129.05427870690272,35.157988348117215
먹방,"부산광역시 부산진구 중앙대로680번가길 61, 지상2층 (부전동)",20030129,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
더벤티,"부산광역시 부산진구 당감로 51, 1층 (당감동)",20140121,운영중,통닭(치킨),385763.00077,287433.644208,129.0388922287673,35.16616456641746
엉뚱한불닭떡볶이,부산광역시 부산진구 동성로 104 (전포동),20000720,운영중,통닭(치킨),388389.598817,286758.713355,129.06755065529936,35.15959643574567
육회상회,"부산광역시 부산진구 서전로10번길 7, 지상1층 (부전동)",20060814,운영중,통닭(치킨),387779.178969,286493.524879,129.06079497020465,35.15732180817192
더썬치킨범천점,"부산광역시 부산진구 중앙번영로 16, 1층 (범천동)",20110407,운영중,통닭(치킨),387813.368559,285098.522189,129.06085297874785,35.144749575170046
놀이터,부산광역시 부산진구 서전로57번길 47 (전포동),19910306,운영중,통닭(치킨),388244.949202,286797.931071,129.0659729996095,35.15997677510349
돈치킨부암점,"부산광역시 부산진구 백양순환로 123-1, 1층 (부암동)",20090831,운영중,통닭(치킨),385917.358643,287820.334047,129.0406725243374,35.16961928952407
썬더치킨개금1호점,"부산광역시 부산진구 엄광로 19, 1층 (개금동)",20030909,운영중,통닭(치킨),383926.289942,285422.497151,129.01829641221207,35.14838573643717
BHC범내골점,"부산광역시 부산진구 황령대로18번길 37, 1동 1층 6호 (범천동, 대원아파트상가)",20100126,운영중,통닭(치킨),387907.345212,285275.64967,129.0619238376646,35.14632755845283
국사랑양정점,"부산광역시 부산진구 범양로125번길 6, 1층 (양정동)",20140813,운영중,통닭(치킨),388165.78518,288397.884142,129.06546921803692,35.174403503310074
누리에치킨,"부산광역시 부산진구 성지로61번길 29, 상가동 지상2층 201호 (연지동, 연지한신타워)",20140404,운영중,통닭(치킨),387000.009494,288542.261373,129.05271269843982,35.17592151248609
코코로,부산광역시 부산진구 거제대로 26 (양정동),20070515,운영중,통닭(치킨),388421.791193,288038.367742,129.0681956852585,35.171117149569724
우리동네 치킨,"서울특별시 송파구 백제고분로18길 10, 지상1층 (잠실동)",20150526,운영중,통닭(치킨),207467.055808,544987.776417,127.08444951738238,37.504327554522085
신천황제떡뽁이,"대구광역시 북구 침산로21길 36, 107동 102호 (침산동, 침산쌍용아파트상가)",20110524,운영중,,343266.290246,366709.710296,128.5866404950462,35.88736336858798
다다치킨,부산광역시 남구 동명로 126-4 (용호동),19990408,운영중,통닭(치킨),392385.447988,282432.929476,129.1103720484747,35.11987577540852
맥시칸치킨,"경상남도 진주시 호탄길22번길 6 (호탄동,번지(1층일부))",20061115,운영중,통닭(치킨),301754.367253,285779.004446,128.11684902257593,35.16326477211518
야타이,"부산광역시 해운대구 구남로 36-1 (우동, 지상1층)",20070129,운영중,통닭(치킨),396880.831852,287078.831877,129.16075939828238,35.160853938593895
BBQ 좌동신시가지점,"부산광역시 해운대구 대천로 104 (좌동, 정창빌딩1층)",20021022,운영중,통닭(치킨),398028.392782,288624.150209,129.17371633288107,35.174547506220875
티바두마리치킨,"부산광역시 해운대구 아랫반송로21번길 117 (반송동, 1층)",19840509,운영중,통닭(치킨),395603.737681,294559.701792,129.14852631524664,35.22848471463801
닭발의 전설,"부산광역시 해운대구 신반송로 193 (반송동, 102호)",20080312,운영중,통닭(치킨),396540.606222,294723.478278,129.15884955494258,35.22977680772769
맵스,부산광역시 해운대구 송정중앙로 10 (송정동),20000510,운영중,통닭(치킨),400573.811106,289658.632819,129.2018899905881,35.183360454637594
깐부치킨센텀시티점,"부산광역시 해운대구 센텀6로 21 (우동, 인텔리움센텀 106호 )",20101029,운영중,통닭(치킨),393974.593277,288432.990192,129.1292013375392,35.173615891687106
이층돼지국밥,부산광역시 해운대구 송정중앙로 47 (송정동),20110617,운영중,통닭(치킨),400913.160039,289475.908707,129.20556840876412,35.18164691186526
