사업장명,도로명전체,인허가일자,영업상태명,위생업태명,x_wgs84,y_wgs84
베짱이,경상북도 청도군 금천면 금천로 745,20150619,운영중,커피숍,128.8604067407778,35.745660782392655
헤이주카페,경상북도 청도군 금천면 선암로 622-2,20150629,운영중,커피숍,128.89305454979657,35.691337173751926
커피홀릭,경상북도 청송군 청송읍 중앙로 245,20100817,운영중,커피숍,129.05585164985425,36.4339024973704
RosaTea&Coffee로사티앤커피,"광주광역시 광산구 장신로20번길 13-16, 1층 (장덕동)",20150604,운영중,커피숍,126.81337301865919,35.19034335266102
퐁낭인다락,"제주특별자치도 제주시 태성중1길 13-4, 1층 (일도이동)",20150603,운영중,커피숍,126.54644794637434,33.50060254569006
까페쎄나클(센트럴점),"충청남도 예산군 예산읍 예산로 245, 1층",20150603,운영중,커피숍,126.85167117285701,36.68065290042467
"그리다,봄",경상남도 거창군 거창읍 수남로 2264,20150619,운영중,커피숍,127.91240776967709,35.6808928705596
그라찌에 상명대점,"서울특별시 종로구 홍지문2길 20, 지하1층 (홍지동, 미래백년관)",20150520,운영중,커피숍,126.95504315439175,37.60282340390085
스타벅스 판교브릿지타워점,"경기도 성남시 분당구 판교로227번길 6 (삼평동, 판교브릿지타워 111,112,113,114,115호)",20150520,운영중,커피숍,127.0993368209624,37.403048069556654
공차(NC미금점),"경기도 성남시 분당구 미금일로154번길 20 (구미동, 이천일아울렛 6층 일부)",20150520,운영중,커피숍,127.1072872040184,37.34892879933501
구수 마이 뉴 칠드런(GOOSOO my new children),"경기도 성남시 수정구 성남대로1542번길 43-3, 1층 (복정동)",20150520,운영중,커피숍,127.13024731446953,37.46689804294194
아마빌레,대구광역시 수성구 들안로 287-5 (수성동2가),20150520,운영중,커피숍,128.61683705681813,35.85575713551185
타다오커피1,"경기도 부천시 오정구 고강로92번길 41 (고강동, 고강제일시장 9동 1층일부)",20150522,운영중,커피숍,126.81481111173257,37.52830187263117
타다오커피2,"경기도 부천시 오정구 고강로92번길 41 (고강동, 고강제일시장 9동 2층일부)",20150522,운영중,커피숍,126.81481111173257,37.52830187263117
커피베이첨단자이점,"광주광역시 북구 임방울대로1042번길 14-6 (용두동, 1층)",20150520,운영중,커피숍,124.87027781269322,32.57392676984479
빌리엔젤합정점,"서울특별시 마포구 양화로6길 73 (서교동, 1층일부)",20150622,운영중,커피숍,126.91831749495675,37.548619816586346
밀랑스,"서울특별시 마포구 대흥로28길 5 (대흥동, 1층일부(좌측))",20150625,운영중,커피숍,126.94635948581575,37.55539579313843
투썸플레이스,"서울특별시 마포구 와우산로21길 26, 2층 (서교동)",20150519,운영중,커피숍,126.92258531306643,37.55249208752999
카페웨스트브릿지,"서울특별시 마포구 와우산로25길 6 (서교동, 1층일부)",20150629,운영중,커피숍,126.92616180811089,37.55365818547931
카페 199,"서울특별시 송파구 올림픽로8길 31, 201호 (잠실동)",20150520,운영중,커피숍,127.0807277609675,37.50894310706104
다트프린스홍대점,"서울특별시 마포구 독막로7길 63, 3층 (서교동)",20150623,운영중,커피숍,126.92008880383167,37.550623853602175
요거프레소전주호성점,"전라북도 전주시 덕진구 호성로 138 (호성동1가, 진흥더블파크2단지 상가동 108호)",20150520,운영중,커피숍,127.1469485870094,35.86413308132837
데코덴카페내맘케(decoden cafe 내맘케),"서울특별시 마포구 와우산로19길 21 (서교동, 3층일부)",20150623,운영중,커피숍,126.92188583241573,37.55119661876377
지카페(G카페),"서울특별시 마포구 마포대로21길 38 (아현동, 1층일부)",20150625,운영중,커피숍,126.955630432973,37.55472227033438
컵스쿠쿠구평점,"경상북도 구미시 인동36길 35, 116동 103호 (구평동, 구미구평푸르지오 상가동)",20150520,운영중,커피숍,124.87027781269322,32.57392676984479
스페이스나무,"경상남도 양산시 하북면 충렬로 1733, 1동 1층",20150520,운영중,커피숍,129.08353210537234,35.48778856538197
수 커피,대구광역시 중구 경상감영길 4 (서문로1가),20150520,운영중,커피숍,128.5876571716089,35.870975101696345
망고식스,"충청남도 공주시 용당길 41, 1층 (교동)",20130910,운영중,커피숍,127.12028453822731,36.45846098165135
콩테이너,"부산광역시 수영구 수영로 459, 1층 (남천동)",20150520,운영중,커피숍,129.10992196343568,35.14695234630583
꽂배달프로젝트,"경상남도 창원시 마산합포구 문화남5길 3, 1층 (월남동3가)",20150520,운영중,커피숍,128.56010021164815,35.18464857285478
버거킹 대구율하점,"대구광역시 동구 안심로22길 10, 107,108,201호 (율하동)",20121112,운영중,커피숍,128.69608794952896,35.8663918710521
보케르 더블유,대구광역시 동구 화랑로80길 11 (방촌동),20130306,운영중,커피숍,128.66849674480855,35.8754312113272
(주)다빈치 에덴의동쪽점,"대구광역시 동구 효동로2길 41, 1,2층 (효목동)",20130418,운영중,커피숍,124.87027781269322,32.57392676984479
에녹,"대구광역시 동구 아양로 344, 1층 (입석동)",20130507,운영중,커피숍,128.64536200977489,35.89451933438678
(주)월드원라이프,대구광역시 동구 동부로 59 (신천동),20131014,운영중,커피숍,128.6189768695367,35.87518005015774
카페 릴리블라썸,대구광역시 동구 경대로 48 (신암동),20131226,운영중,커피숍,128.61496008420534,35.88506109471718
브리스톳커피(bristot),"대구광역시 동구 효신로 14, 2층 (효목동)",20140211,폐업 등,커피숍,128.63499498264562,35.87329358675819
투썸플레이스 이시아점,"대구광역시 동구 팔공로51길 11, 103호,201호 (봉무동)",20140401,운영중,커피숍,128.6398565610962,35.92294494190608
투데이로스팅커피 방촌1호점,"대구광역시 동구 동촌로 193, 110호 (방촌동)",20140423,운영중,커피숍,128.66184613058255,35.88332810467833
커피에비뉴 (Coffee Avenue),"대구광역시 동구 팔공로 250, 126호 (봉무동, 이시아스타)",20140513,운영중,커피숍,128.64189171420034,35.920936937603855
이디야 신암로점,"대구광역시 동구 신암로 96-1, 1층 (신암동)",20140711,운영중,커피숍,128.61065812822386,35.87941172568163
카페준똥(cafe JunDDong's),"대구광역시 동구 첨복로 27, 103호 (신서동, 해도빌딩)",20140929,운영중,커피숍,128.73280065470556,35.87844209681285
커피팔구오육,"대구광역시 동구 동촌로 340, 1층 (용계동)",20150424,운영중,커피숍,128.6765001676996,35.87752513832142
카페바스,"대구광역시 동구 안심로 58, 1층 (율하동)",20150511,운영중,커피숍,128.69185750475415,35.86984466819563
미소카페,"대구광역시 동구 경안로 732, 2층 (동호동)",20150511,운영중,커피숍,128.7140680760013,35.86740438995846
매콤돈가스칡불냉면(동대구점),"대구광역시 동구 동부로 158, B동 (신천동)",20101126,운영중,커피숍,128.6296056671058,35.87709359431542
빈센트(Vincent),대구광역시 동구 국채보상로159길 67 (신천동),20110518,운영중,커피숍,128.61598284888484,35.871060181867236
카페모따,대구광역시 동구 장등로 43-1 (신천동),20110808,운영중,커피숍,128.62328318643748,35.87142384839393
더컵(The cup),,20120316,운영중,커피숍,124.87027781269322,32.57392676984479
아모르커피점,대구광역시 동구 안심로 354 (동호동),20120418,운영중,커피숍,128.72314989429557,35.86733551960777
카펠리체이시아폴리스점,"대구광역시 동구 팔공로51길 31-5, A동 A-01호 (봉무동)",20120515,운영중,커피숍,128.63776776059143,35.92258544658613
더브릿지커피,"대구광역시 동구 아양로 99, B,C동 (신암동, 파티마병원)",20120814,운영중,커피숍,128.62407667390886,35.88424228182397
카페블레스,"대구광역시 동구 안심로55길 20, 3층 (동호동)",20150522,운영중,커피숍,128.7164272316725,35.867745001412686
커피콩,"경상남도 진주시 대신로 317 (하대동, 1층일부)",20150522,운영중,커피숍,128.11662864472083,35.18886057988396
휠링카페단,"충청남도 천안시 동남구 목천읍 삼성5길 62, 2층 201호 (제일아이조움프라자)",20150522,운영중,커피숍,127.17955102198115,36.760639531775865
카페아이오이,"충청남도 천안시 동남구 다가말2길 98, 1동 2층 (용곡동)",20150522,운영중,커피숍,124.87027781269322,32.57392676984479
카페베네 부산민락점,"부산광역시 수영구 수영로 769, 1~2층 (수영동)",20150522,운영중,커피숍,129.12281121169858,35.16671920277922
커피마마(옥포점),"경상남도 거제시 옥포로25길 1, B동 1층 101호 (옥포동, 동백연립)",20150522,운영중,커피숍,128.68962400580045,34.896669090216676
킹콩커피,"대구광역시 중구 큰장로26길 65 (대신동, 동산상가 지상1층 1-11호,1-12호)",20150522,운영중,커피숍,128.58167745933113,35.86895866529906
파시야 아산신창점,"충청남도 아산시 신창면 남성길 134, 1층 103-1호",20150611,운영중,커피숍,126.95573393290273,36.79088769745215
차우반구점,"울산광역시 중구 화합로 430, 1층 (반구동)",20150609,운영중,커피숍,129.33698130473962,35.56346240733616
이디야커피 울산우정혁신점,"울산광역시 중구 종가5길 78-2, 1층 (유곡동)",20150610,운영중,커피숍,124.87027781269322,32.57392676984479
감프롱,"울산광역시 중구 북부순환도로 874, 1층 (서동)",20150611,운영중,커피숍,129.345684675432,35.580391313396774
셀렉토커피 의왕포일점,"경기도 의왕시 봇들로 34, 107호 (포일동, 상가)",20150609,운영중,커피숍,126.98463829252364,37.39689601717209
와겐커피,"서울특별시 중구 장충단로 263 (을지로6가, 밀리오레 1층 108호)",20150616,운영중,커피숍,127.00831041239493,37.568322259045225
더샤드 포슬린,"서울특별시 종로구 돈화문로 65, 1층 (와룡동)",20150616,운영중,커피숍,126.99082553741417,37.574264664854084
론푸드,"제주특별자치도 서귀포시 중문관광로72번길 60, 1층 (색달동)",20150616,폐업 등,커피숍,126.40496116332008,33.24984000260816
카페 봄봄,"대구광역시 중구 중앙대로 412-21 (사일동, 지상1층)",20150616,운영중,커피숍,128.59493197642715,35.86996495665981
