"행정구역","2020년04월_총인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"전국  (1000000000)","51,842,524","22,663,240","          2.29","25,857,509","25,985,015","          1.00"
"서울특별시  (1100000000)","9,726,787","4,361,645","          2.23","4,737,843","4,988,944","          0.95"
"부산광역시  (2600000000)","3,408,347","1,507,504","          2.26","1,671,199","1,737,148","          0.96"
"대구광역시  (2700000000)","2,431,523","1,041,932","          2.33","1,200,899","1,230,624","          0.98"
"인천광역시  (2800000000)","2,950,972","1,246,255","          2.37","1,478,916","1,472,056","          1.00"
"광주광역시  (2900000000)","1,456,096","622,374","          2.34","720,536","735,560","          0.98"
"대전광역시  (3000000000)","1,471,650","640,500","          2.30","734,902","736,748","          1.00"
"울산광역시  (3100000000)","1,144,098","471,153","          2.43","587,902","556,196","          1.06"
"세종특별자치시  (3600000000)","345,216","137,500","          2.51","172,176","173,040","          1.00"
"경기도  (4100000000)","13,311,254","5,529,263","          2.41","6,696,531","6,614,723","          1.01"
"강원도  (4200000000)","1,537,780","722,573","          2.13","773,468","764,312","          1.01"
"충청북도  (4300000000)","1,596,613","726,381","          2.20","809,005","787,608","          1.03"
"충청남도  (4400000000)","2,118,457","964,860","          2.20","1,080,256","1,038,201","          1.04"
"전라북도  (4500000000)","1,811,619","821,517","          2.21","900,628","910,991","          0.99"
"전라남도  (4600000000)","1,857,083","877,388","          2.12","932,970","924,113","          1.01"
"경상북도  (4700000000)","2,651,054","1,235,801","          2.15","1,334,981","1,316,073","          1.01"
"경상남도  (4800000000)","3,353,380","1,461,207","          2.29","1,688,178","1,665,202","          1.01"
"제주특별자치도  (5000000000)","670,595","295,387","          2.27","337,119","333,476","          1.01"
