pid,hid,area_siz,gender,age_gr,age,mob_use,sns_use,freq_sns1,year
10001,100,1,1,5,48,1,2, ,2015
10002,100,1,2,5,43,1,2, ,2015
20002,200,1,2,5,49,1,1,2,2015
30001,300,1,1,5,44,1,2, ,2015
30002,300,1,2,5,41,1,1,16,2015
30003,300,1,1,2,13,1,2, ,2015
30004,300,1,1,1,7,2,2, ,2015
40001,400,1,1,4,38,1,2, ,2015
40002,400,1,2,4,39,1,1,12,2015
40003,400,1,1,1,9,2,2, ,2015
40004,400,1,2,1,8,2,2, ,2015
50001,500,1,1,5,43,1,2, ,2015
50002,500,1,2,4,38,1,1,1,2015
50003,500,1,2,1,9,1,2, ,2015
50004,500,1,2,1,8,2,2, ,2015
60001,600,1,1,5,46,1,2, ,2015
60002,600,1,2,5,42,1,1,12,2015
60003,600,1,2,2,14,1,1,12,2015
60004,600,1,2,1,9,1,1,12,2015
80001,800,1,1,7,65,1,2, ,2015
80002,800,1,2,7,64,1,2, ,2015
90001,900,1,1,6,52,1,2, ,2015
90002,900,1,2,5,46,1,2, ,2015
100001,1000,1,1,4,36,1,1,2,2015
100002,1000,1,2,4,36,1,1,2,2015
110001,1100,1,1,6,55,1,2, ,2015
110002,1100,1,2,6,56,1,2, ,2015
110003,1100,1,2,3,24,1,1,2,2015
110004,1100,1,1,3,23,1,1,2,2015
120003,1200,1,1,3,24,1,1,15,2015
120004,1200,1,2,3,22,1,2, ,2015
130001,1300,1,1,7,68,1,2, ,2015
140001,1400,1,2,6,53,1,2, ,2015
150001,1500,1,1,5,45,1,1,1,2015
150002,1500,1,2,5,42,1,2, ,2015
160001,1600,1,1,7,64,1,2, ,2015
160002,1600,1,2,7,63,1,2, ,2015
170001,1700,1,2,7,68,1,2, ,2015
180001,1800,1,2,5,48,1,2, ,2015
190001,1900,1,1,5,44,1,2, ,2015
190002,1900,1,2,5,43,1,2, ,2015
200001,2000,1,1,8,85,1,2, ,2015
200002,2000,1,2,8,74,1,2, ,2015
210001,2100,1,1,7,66,1,2, ,2015
210002,2100,1,2,7,63,1,2, ,2015
220001,2200,1,1,7,63,1,2, ,2015
220002,2200,1,2,7,61,1,2, ,2015
230001,2300,1,1,6,54,1,2, ,2015
230002,2300,1,2,7,60,1,2, ,2015
240001,2400,1,1,8,74,1,2, ,2015
240002,2400,1,2,8,70,1,2, ,2015
250001,2500,1,2,8,94,2,2, ,2015
250002,2500,1,1,5,41,1,2, ,2015
260001,2600,1,1,6,54,1,2, ,2015
260002,2600,1,2,6,52,1,2, ,2015
270001,2700,1,1,7,61,1,2, ,2015
270002,2700,1,2,5,49,1,2, ,2015
280001,2800,1,2,8,82,1,2, ,2015
290001,2900,1,2,7,60,1,2, ,2015
290002,2900,1,1,6,53,1,2, ,2015
290003,2900,1,2,4,30,1,2, ,2015
300001,3000,1,2,6,52,1,2, ,2015
300002,3000,1,2,3,25,1,2, ,2015
300003,3000,1,2,3,28,1,1,1,2015
300004,3000,1,1,3,26,1,2, ,2015
310001,3100,1,1,6,56,1,2, ,2015
310002,3100,1,2,6,52,1,2, ,2015
310003,3100,1,2,3,23,1,2, ,2015
310004,3100,1,2,3,21,1,2, ,2015
320001,3200,1,1,8,79,2,2, ,2015
320002,3200,1,2,8,78,1,2, ,2015
330001,3300,1,2,8,76,1,2, ,2015
350001,3500,1,1,7,60,1,2, ,2015
350002,3500,1,1,3,28,1,2, ,2015
350003,3500,1,2,7,61,1,2, ,2015
360001,3600,1,1,5,43,1,1,2,2015
360002,3600,1,2,4,38,1,2, ,2015
370001,3700,1,1,5,46,1,1,12,2015
370002,3700,1,2,5,46,1,1,12,2015
380001,3800,1,1,4,38,1,1,1,2015
380002,3800,1,2,4,36,1,1,12,2015
390001,3900,1,2,5,47,1,1,12,2015
390002,3900,1,2,3,21,1,1,12,2015
390003,3900,1,1,2,18,1,1,12,2015
390004,3900,1,1,5,48,1,1,12,2015
400001,4000,1,1,6,58,1,2, ,2015
400002,4000,1,2,6,54,1,2, ,2015
400003,4000,1,1,4,30,1,1,2,2015
400004,4000,1,1,3,28,1,2, ,2015
410001,4100,1,1,5,49,1,2, ,2015
410002,4100,1,2,6,50,1,1,16,2015
410003,4100,1,2,2,11,1,1,12,2015
420001,4200,1,1,4,35,1,1,12,2015
420002,4200,1,2,4,35,1,1,12,2015
420003,4200,1,1,1,8,1,2, ,2015
430001,4300,1,1,4,34,1,1,12,2015
430002,4300,1,2,4,34,1,2, ,2015
430003,4300,1,1,1,6,2,2, ,2015
440001,4400,1,1,6,53,1,2, ,2015
440002,4400,1,2,6,50,1,2, ,2015
440003,4400,1,2,3,25,2,2, ,2015
440004,4400,1,2,3,22,1,1,2,2015
450001,4500,1,1,5,40,1,2, ,2015
450002,4500,1,2,4,38,1,1,2,2015
450003,4500,1,2,1,9,2,2, ,2015
450004,4500,1,2,1,9,2,2, ,2015
450005,4500,1,2,1,7,2,2, ,2015
460002,4600,1,2,4,39,1,1,12,2015
470001,4700,1,1,6,53,1,1,12,2015
470002,4700,1,2,8,79,1,2, ,2015
470003,4700,1,2,5,46,1,1,12,2015
480001,4800,1,1,8,75,1,2, ,2015
480002,4800,1,2,7,69,1,2, ,2015
490001,4900,1,2,6,51,1,1,12,2015
490003,4900,1,1,3,20,1,1,2,2015
500001,5000,1,2,6,54,1,2, ,2015
510001,5100,1,2,8,71,1,2, ,2015
520001,5200,1,1,6,54,1,2, ,2015
520002,5200,1,2,5,43,1,2, ,2015
530001,5300,1,1,7,67,1,2, ,2015
530002,5300,1,2,7,68,1,2, ,2015
530003,5300,1,1,5,46,1,1,3,2015
530004,5300,1,2,5,43,1,1,12,2015
540001,5400,1,1,7,68,1,2, ,2015
540002,5400,1,2,6,58,1,2, ,2015
550001,5500,1,1,8,70,1,2, ,2015
550002,5500,1,1,4,34,1,1,12,2015
560001,5600,1,1,5,41,1,1,3,2015
560002,5600,1,2,4,38,1,1,3,2015
570001,5700,1,1,6,57,1,2, ,2015
570002,5700,1,2,6,57,1,2, ,2015
580001,5800,1,1,8,71,1,2, ,2015
580002,5800,1,2,7,67,1,2, ,2015
590001,5900,1,1,5,40,1,1,12,2015
600002,6000,1,2,6,53,1,1,12,2015
600005,6000,1,1,2,19,1,1,12,2015
610001,6100,1,2,3,24,1,1,12,2015
620001,6200,1,2,4,32,1,1,12,2015
630001,6300,1,1,4,37,1,1,3,2015
630002,6300,1,2,4,35,1,1,3,2015
640001,6400,1,2,6,52,1,1,12,2015
640002,6400,1,1,3,27,1,1,1,2015
650001,6500,1,1,8,73,1,2, ,2015
650002,6500,1,2,8,75,1,2, ,2015
660002,6600,1,2,6,50,1,2, ,2015
660003,6600,1,2,3,24,1,1,12,2015
670002,6700,1,2,5,47,1,1,2,2015
680001,6800,1,1,8,80,1,2, ,2015
690002,6900,1,2,5,46,1,2, ,2015
700001,7000,1,1,6,56,1,2, ,2015
700002,7000,1,2,5,49,1,2, ,2015
710001,7100,1,1,5,48,1,2, ,2015
710002,7100,1,2,5,44,1,2, ,2015
720001,7200,1,1,5,42,1,1,2,2015
720002,7200,1,2,4,32,1,1,3,2015
730001,7300,1,1,6,54,1,2, ,2015
740001,7400,1,1,6,51,1,1,2,2015
740002,7400,1,2,5,47,1,1,3,2015
750002,7500,1,2,6,52,1,2, ,2015
750004,7500,1,2,3,22,1,1,2,2015
760001,7600,1,1,6,55,1,1,2,2015
760002,7600,1,2,6,50,1,1,12,2015
780001,7800,1,1,8,82,1,2, ,2015
780002,7800,1,2,8,83,1,2, ,2015
810001,8100,1,1,7,65,1,2, ,2015
810002,8100,1,2,7,60,1,2, ,2015
810003,8100,1,1,3,25,1,1,2,2015
820001,8200,1,1,5,45,1,2, ,2015
820002,8200,1,2,5,42,1,1,16,2015
820003,8200,1,1,2,13,1,1,12,2015
820004,8200,1,2,2,10,1,1,12,2015
820005,8200,1,2,7,69,1,1,12,2015
830001,8300,1,1,5,45,1,1,2,2015
830002,8300,1,2,5,43,1,1,12,2015
830003,8300,1,2,2,16,1,1,2,2015
830004,8300,1,2,2,11,1,1,17,2015
870002,8700,1,2,5,48,1,1,12,2015
880001,8800,1,1,6,51,1,1,12,2015
880002,8800,1,2,5,48,1,1,16,2015
880003,8800,1,1,2,13,1,1,12,2015
880004,8800,1,1,1,8,1,2, ,2015
890001,8900,1,1,6,53,1,1,12,2015
900002,9000,1,2,5,49,1,1,12,2015
910001,9100,1,1,8,80,1,2, ,2015
910002,9100,1,2,7,68,1,2, ,2015
920001,9200,1,1,8,72,1,2, ,2015
920002,9200,1,2,7,69,1,2, ,2015
930002,9300,1,2,6,57,1,1,12,2015
940001,9400,1,1,6,51,1,2, ,2015
940002,9400,1,2,5,47,1,2, ,2015
940003,9400,1,2,3,24,1,1,2,2015
950002,9500,1,2,7,62,1,2, ,2015
950005,9500,1,1,3,24,1,1,2,2015
960002,9600,1,2,5,40,1,2, ,2015
960003,9600,1,1,1,9,1,2, ,2015
970001,9700,1,1,7,67,1,2, ,2015
970002,9700,1,2,7,65,1,2, ,2015
980001,9800,1,1,6,55,1,1,2,2015
980002,9800,1,2,6,55,1,1,1,2015
980003,9800,1,2,4,33,1,1,3,2015
990002,9900,1,2,7,62,1,2, ,2015
990003,9900,1,1,4,38,1,1,2,2015
1000001,10000,1,1,4,38,1,2, ,2015
1000002,10000,1,2,4,37,1,2, ,2015
1010001,10100,1,1,5,40,1,1,12,2015
1010002,10100,1,2,5,40,1,1,12,2015
1010003,10100,1,1,1,9,1,2, ,2015
1010004,10100,1,2,1,6,2,2, ,2015
1020003,10200,1,1,5,49,1,2, ,2015
1020004,10200,1,2,6,53,1,2, ,2015
1030001,10300,1,1,7,67,1,2, ,2015
1030002,10300,1,2,7,60,1,2, ,2015
1040001,10400,1,1,5,46,1,1,1,2015
1040002,10400,1,2,5,46,1,1,1,2015
1040003,10400,1,1,3,20,1,1,1,2015
1040004,10400,1,1,2,16,1,1,12,2015
1070001,10700,1,1,5,44,1,1,17,2015
1070002,10700,1,2,5,41,1,1,12,2015
1070003,10700,1,2,1,7,2,2, ,2015
1080001,10800,1,1,8,74,1,2, ,2015
1080002,10800,1,2,7,66,1,2, ,2015
1080003,10800,1,1,5,41,1,2, ,2015
1090001,10900,1,1,5,43,1,1,12,2015
1090002,10900,1,2,5,43,1,2, ,2015
1090003,10900,1,2,2,14,1,1,12,2015
1090004,10900,1,1,1,8,2,2, ,2015
1150001,11500,1,1,5,45,1,1,12,2015
1150002,11500,1,2,5,42,1,1,16,2015
1150003,11500,1,1,2,14,1,1,12,2015
1150004,11500,1,2,2,12,1,1,12,2015
1160001,11600,1,1,5,46,1,1,1,2015
1160002,11600,1,2,5,47,1,1,1,2015
1160003,11600,1,1,2,14,1,1,12,2015
1160004,11600,1,1,2,14,1,1,12,2015
1170001,11700,1,1,5,46,1,2, ,2015
1170002,11700,1,2,5,41,1,1,2,2015
1170003,11700,1,1,2,14,1,2, ,2015
1170004,11700,1,1,2,11,2,2, ,2015
1180001,11800,1,1,5,44,1,1,12,2015
1180002,11800,1,2,5,45,1,1,12,2015
1180003,11800,1,1,1,8,1,2, ,2015
1180004,11800,1,2,1,6,2,2, ,2015
1190002,11900,1,2,4,37,1,2, ,2015
1190003,11900,1,1,2,12,1,2, ,2015
1200001,12000,1,1,6,54,1,2, ,2015
1200002,12000,1,2,6,51,1,2, ,2015
1200003,12000,1,2,8,81,2,2, ,2015
1200004,12000,1,1,3,20,1,2, ,2015
1200005,12000,1,1,2,17,1,2, ,2015
1210001,12100,1,1,6,55,1,2, ,2015
1210002,12100,1,2,6,52,1,1,16,2015
1210003,12100,1,1,3,26,1,1,1,2015
1210004,12100,1,1,3,24,1,2, ,2015
1230001,12300,1,2,7,65,1,2, ,2015
1230002,12300,1,1,6,59,1,2, ,2015
1230003,12300,1,2,6,56,1,2, ,2015
1230004,12300,1,2,4,31,1,1,2,2015
1230005,12300,1,2,3,23,1,1,2,2015
1250001,12500,1,2,5,48,1,1,12,2015
1250002,12500,1,1,3,22,1,1,16,2015
1250003,12500,1,2,2,17,1,2, ,2015
1270001,12700,1,1,6,53,1,1,12,2015
1270002,12700,1,2,5,49,1,1,12,2015
1300001,13000,1,1,6,57,1,2, ,2015
1300002,13000,1,2,6,52,1,2, ,2015
1300003,13000,1,1,3,23,1,1,2,2015
1300004,13000,1,1,3,25,1,1,12,2015
1320001,13200,1,1,7,60,1,1,12,2015
1320002,13200,1,2,6,58,1,1,12,2015
1320003,13200,1,2,4,32,1,1,12,2015
1320101,13201,1,1,4,30,1,1,12,2015
1320102,13201,1,2,3,25,1,1,12,2015
1330001,13300,1,2,6,53,1,2, ,2015
1340001,13400,1,1,4,34,1,2, ,2015
1340002,13400,1,2,4,34,1,1,12,2015
1350001,13500,1,2,7,65,1,2, ,2015
1360001,13600,1,1,7,69,1,2, ,2015
1360002,13600,1,2,7,61,1,2, ,2015
1380001,13800,1,1,7,66,1,2, ,2015
1380002,13800,1,2,7,65,1,2, ,2015
1470003,14700,1,2,3,26,1,1,1,2015
