기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2018	합계	173	45,536	14,258,193	570,524	24,867	66,955,435	51,070,334	23,140,724	2,600	734	1,866	150,596
2018	종로구	7	2,426	1,150,795	53,981	1,932	3,843,581	2,562,193	1,096,673	159	42	117	12,076
2018	중구	5	699	563,213	24,938	651	1,682,720	1,431,216	558,162	94	20	74	5,723
2018	용산구	4	1,545	865,103	36,224	1,728	2,266,969	1,423,742	635,296	95	28	67	7,417
2018	성동구	6	1,691	527,986	23,476	507	3,081,900	2,899,933	687,826	102	25	77	3,919
2018	광진구	4	1,346	361,899	8,859	402	2,342,446	2,317,863	840,977	46	17	29	3,427
2018	동대문구	4	1,155	449,979	24,051	1,305	2,460,221	1,839,485	709,342	93	34	59	5,561
2018	중랑구	4	1,318	359,642	9,331	349	2,039,360	1,624,803	555,902	54	19	35	2,943
2018	성북구	10	1,504	588,055	32,736	402	1,700,278	959,398	729,626	118	37	81	5,123
2018	강북구	7	1,590	428,826	14,441	296	1,140,127	760,318	557,809	86	34	52	4,227
2018	도봉구	6	1,819	566,012	27,550	791	1,586,923	1,023,911	830,813	89	28	61	5,963
2018	노원구	11	3,565	815,698	36,654	984	4,487,940	2,613,018	1,475,908	162	40	122	8,813
2018	은평구	7	2,443	493,198	27,021	1,277	2,517,939	1,756,987	925,461	155	48	107	7,382
2018	서대문구	4	978	460,041	16,000	977	1,568,025	937,109	503,811	71	24	47	4,385
2018	마포구	6	2,171	601,296	31,904	1,356	4,047,530	3,179,698	1,324,429	174	53	121	12,583
2018	양천구	9	1,928	528,419	23,575	926	3,448,296	2,871,204	1,359,312	93	19	74	5,142
2018	강서구	9	2,943	666,299	22,923	1,133	2,938,978	2,373,000	1,197,130	133	37	96	7,584
2018	구로구	11	2,412	741,893	23,943	1,428	2,789,426	2,231,975	926,068	121	31	90	7,013
2018	금천구	4	1,381	312,808	12,777	420	1,713,856	1,371,389	482,802	53	17	36	1,976
2018	영등포구	5	1,094	439,253	22,981	871	1,786,193	1,237,582	539,350	81	16	65	5,335
2018	동작구	6	1,109	338,657	11,428	601	1,413,969	1,230,514	791,968	59	20	39	3,449
2018	관악구	5	1,040	405,174	8,688	1,127	980,392	647,683	499,076	72	28	44	4,338
2018	서초구	6	1,084	220,684	6,005	333	1,750,337	1,350,246	686,029	57	17	40	2,588
2018	강남구	13	2,702	816,753	28,826	1,690	5,838,954	4,225,413	1,690,063	167	29	138	7,650
2018	송파구	12	2,453	681,165	16,881	1,620	4,842,361	4,025,726	1,934,542	144	40	104	8,445
2018	강동구	8	3,140	875,345	25,331	1,761	4,686,714	4,175,928	1,602,349	122	31	91	7,534
