기간	자치구	지역내총부가가치(당해년가격)	구성비	지역내총부가가치(2010년 기준년가격)	전년대비 증감률
2016	서울시	327,277,837	100	301,541,063	2.2
2016	종로구	25,694,553	7.9	24,850,278	-0.2
2016	중구	43,957,020	13.4	45,236,619	1.3
2016	용산구	9,526,068	2.9	8,318,558	1.4
2016	성동구	9,352,650	2.9	8,234,742	4.8
2016	광진구	5,434,238	1.7	4,764,993	3.5
2016	동대문구	6,476,223	2	5,735,416	4.1
2016	중랑구	3,652,338	1.1	3,178,466	3.7
2016	성북구	4,830,995	1.5	4,187,993	2.8
2016	강북구	2,583,046	0.8	2,231,182	4.7
2016	도봉구	2,590,650	0.8	2,220,518	3.1
2016	노원구	4,936,313	1.5	4,271,917	3.3
2016	은평구	3,601,150	1.1	3,078,809	8.9
2016	서대문구	6,891,914	2.1	6,002,552	0.6
2016	마포구	15,183,264	4.6	13,804,793	1.4
2016	양천구	5,584,997	1.7	4,912,579	3.1
2016	강서구	9,781,642	3	8,590,119	8
2016	구로구	10,900,981	3.3	9,764,886	4.7
2016	금천구	13,511,226	4.1	11,877,703	6.4
2016	영등포구	25,044,737	7.7	23,581,237	2.3
2016	동작구	4,820,579	1.5	4,211,529	3.1
2016	관악구	4,951,841	1.5	4,369,088	0.3
2016	서초구	27,191,266	8.3	24,395,280	1.2
2016	강남구	54,156,936	16.5	49,677,195	1.1
2016	송파구	19,889,416	6.1	18,017,057	2.7
2016	강동구	6,733,794	2.1	6,027,555	3.6
