단위 : 천원,2009년,2009년,2009년,2009년,2009년,2009년,2009년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2010년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2011년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2012년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2013년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,2014년,누계,"점유율
(누계기준)",비고
지역,7월,8월,9월,10월,11월,12월,소계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,소계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,소계,1월,2월,3월,4월,5월,6월,7월,8월(1~14),8월(15~31),8월(합계),9월(1~9),9월(10~16),9월(17~23),9월(24~30),9월(합계),10월(1~7),10월(8~14),10월(15~21),10월(22~28),10월(29~31),10월(합계),11월(1~11),11월(12~18),11월(19~25),11월(26~30),11월(합계),12월(1~9),12월(10~16),12월(17~23),12월(24~31),12월(합계),소계,1월(1~6),1월(7~13),1월(14~20),1월(21~27),1월(28~31),1월(합계),2월(1~10),2월(11~17),2월(18~24),2월(25~28),2월(합계),3월(1~10),3월(11~17),3월(18~24),3월(25~31),3월(합계),4월(1~7),4월(8~14),4월(15~21),4월(22~30),4월(합계),5월(1~5),5월(6~12),5월(13~15),5월(16~19),5월(20~23),5월(24~30),5월(31),5월(합계),6월(1~6),6월(7~13),6월(14~20),6월(21~27),6월(28~30),6월(합계),7월(1~4),7월(5~11),7월(12~18),7월(19~25),7월(26~31),7월(합계),8월(1~4),8월(5~8),8월(9~15),8월(16~23),8월(24~31),8월(30~31),8월(합계),9월(1~5),9월(6~12),9월(13~16),9월(17~19),9월(20~24),9월(25~26),9월(27~30),9월(합계),10월(1~10),10월(11),10월(12~14),10월(15~16),10월(17~20),10월(21~24),10월(25~31),10월 합계,11월(1~10),11월(11~14),11월(15~21),11월(22~28),11월(29~30),11월 합계,12월(1~5),12월(6~12),12월(13~19),12월(20~26),12월(27~30),12월(31),12월 합계,소계,1월(1~2),1월(3~9),1월(10~16),1월(17~23),1월(24~31),1월합계,2월(1~6),2월(7~13),2월(14~20),2월(21~28),2월합계,3월(1~6),3월(7~13),3월(14~20일),3월(21~26),3월(27~31),3월합계,4월(1~3),4월(4~9),4월(10~17),4월(18~24),4월(25~30),4월합계,5월(1~8),5월(9~15),5월(16~22),5월(23~29),5월(30),5월합계,6월(1~3),6월(4~10),6월(11~17),6월(18~24),6월(25~30),6월합계,7월(1),7월(2~8),7월(9~15),7월(16~22),7월(23~29),7월(30~31),7월합계,8월(1~3),8월합계,소계,,,
서울,12180,42895,1841330,159465,98150,376990,2531010,729750,2999990,135815,272690,165540,203145,334480,246100,6761010,422330,844665,1095075,14210590,3576940,907555,531845,695720,795110,922550,1308235,8285305,28890230,1996105,3159315,2603960,53672870,11304035,1282635,1859660,2121605,4346385,1731465,1977165,208125,913790,1121915,927440,24316535,27429030,3520240,56193245,240300,733235,159085,267695,228230,1628545,1157475,205395,368810,520910,2252590,776270,335635,851445,2062275,4025625,89844870,114670,109740,133035,1263485,2816420,4437350,17422440,2958990,256260,290790,20928480,389245,227435,410390,315900,1342970,233500,221020,239700,1918700,2612920,865155,856830,241375,173165,437000,364940,17490,2955955,148185,339700,214190,277205,78390,1057670,289725,204960,334700,359245,189250,1377880,35925,144910,465830,572375,1814040,,3033080,7433270,21342705,3700965,574220,202845,521910,96150,33872065,381905,114860,40910,163510,193000,441515,235085,1570785,353855,202440,301390,320940,59075,1237700,390595,379630,754045,11519220,1160585,154220,14358295,88785150,141880,467680,1850920,8012150,12644265,23116895,445060,717960,1221535,1657635,4042190,1022980,962900,620340,335070,352435,3293725,316025,627315,698430,1067310,2460500,5169580,534250,1213375,2061830,1929155,275520,6014130,521780,1029175,1143830,1202885,2021915,5919585,439925,2075080,1570420,1383620,1121880,670935,7261860,814385,814385,55632350,304676840,24,서울청
부산,6225,47915,776985,74450,59245,82200,1047020,158095,1686660,424640,545515,204670,418700,258285,160570,1904615,351125,362295,693180,7168350,1945815,1038000,634815,748540,751865,667160,590895,1093735,2693320,774110,659745,1170100,12768100,2715005,1117550,2040270,1901070,1443725,1082695,1023150,299930,404950,704880,186465,363415,978805,831455,2360140,57370,37735,73430,62945,28255,259735,71990,128815,66445,41865,309115,97015,174070,256900,524800,1052785,16010120,21695,53440,260180,130395,354840,820550,1449225,54005,208215,139115,1850560,112575,254405,514485,530980,1412445,358610,283105,369535,454550,1465800,83585,195205,73525,37335,151260,123595,14480,678985,45895,165315,32450,217635,8390,469685,37795,49380,52150,119000,36270,294595,10075,34050,39930,116395,589465,,789915,644065,1439075,448105,114195,35055,82955,33810,2797260,131370,20010,14330,24520,30230,140245,99070,459775,103175,60255,149105,87265,22125,421925,124230,164485,319090,514995,120140,308320,1551260,13012755,16990,111830,647820,856345,867255,2500240,199530,185555,257710,508855,1151650,89865,105955,133810,192270,124155,646055,105525,176430,291170,256955,529130,1359210,296830,222510,221030,267080,26405,1033855,116865,344650,667445,784400,843030,2756390,266280,1322790,1070095,1138345,1019330,530065,5346905,343485,343485,15137790,65144135,5.1,부산울산청
대구,9175,34265,251495,26555,3740,18390,343620,35630,270015,47770,20320,23815,28000,10220,12460,2075675,108775,162675,292820,3088175,2316105,294120,173825,215655,154565,148020,122260,542050,1623135,357825,233970,394000,6575530,2118725,297300,392270,566525,1090745,790070,589345,196300,408210,604510,123930,260995,995675,1022120,2402720,43670,78690,70110,77415,26715,296600,134065,59460,75010,65855,334390,55785,53845,108340,230995,448965,9932165,15415,24620,100350,215830,904850,1261065,1562805,40085,100435,60205,1763530,60170,41165,64760,65145,231240,57170,62720,123825,203905,447620,29740,114800,19395,21690,62300,69895,33100,350920,39945,63780,166880,83725,13695,368025,54095,40005,64495,76250,54625,289470,13610,17530,23475,81610,351215,,487440,726450,1836965,574260,161090,36525,36560,59700,3431550,343210,21830,18945,77845,35765,51720,122085,671400,172920,52820,168725,122310,35015,551790,52780,174580,315590,475820,80270,21925,1120965,10975015,21430,562335,513635,1588930,1038720,3725050,135340,181780,242395,257315,816830,81400,96770,85635,234605,390590,889000,60195,107340,312695,221930,289480,991640,140155,350690,160035,137245,37150,825275,35535,572595,1166075,746995,522170,3043370,209450,1130445,1797515,1182345,841195,323105,5484055,543645,543645,16318865,47233370,3.7,대구경북청
인천,815,2490,244730,23120,10060,80385,361600,38655,144240,24155,20290,14480,18480,22890,9580,400340,41320,60940,147850,943220,2063265,206530,134330,184900,280515,297110,219515,798505,2174030,363935,305815,551810,7580260,2816455,504660,533755,711745,449730,468740,505615,145175,250655,395830,74890,285795,1057160,1204525,2622370,18625,130065,25000,47320,22605,243615,53655,21395,38035,47305,160390,41610,57710,199850,127345,426515,9839420,11235,55040,102795,377555,741420,1288045,1181795,35045,57445,29350,1303635,29775,25495,51830,104485,211585,64035,75155,24905,111160,275255,139935,28635,20180,7160,32790,60100,52760,341560,56295,44390,28920,42650,4260,176515,33760,35480,78275,32470,38875,218860,3880,28620,30585,44430,232545,,340060,417210,1428380,275770,44175,22890,79100,23495,2291020,75550,33110,2600,9560,20495,35875,118400,295590,64190,31715,64290,103995,15250,279440,55270,98875,59945,253160,45375,24440,537065,7558630,6670,290285,570695,1229670,861425,2958745,141320,93460,152055,135170,522005,64245,256005,228620,146895,173165,868930,167290,218120,331220,287390,324800,1328820,77115,83305,58325,113025,16560,348330,56385,132005,239420,254940,168005,850755,104550,347425,176505,147355,195930,94250,1066015,125580,125580,8069180,34352310,2.7,인천청
광주,760,13190,274170,41185,7575,30280,367160,25595,311515,27290,50495,27010,45095,25600,24140,543695,55230,46350,131960,1313975,515215,252495,364980,248875,267090,147865,130950,315340,577280,291355,149245,396080,3656770,776770,314725,361445,474445,386550,560745,211345,54125,119995,174120,80875,264980,593940,384240,1324035,28780,21420,32280,35945,35280,153705,59410,33185,56250,61235,210080,48810,39860,48680,111700,249050,5197015,9150,35000,14685,191945,122525,373305,768790,14880,18350,12075,814095,8530,17340,31035,13245,70150,180400,74785,119500,128200,502885,53330,74155,20640,33015,57630,45760,6180,290710,59740,39745,31940,38295,7760,177480,34495,20815,33765,22185,21715,132975,11490,18505,18580,27795,164600,,240970,295970,934525,315010,1446735,55330,26930,15420,3089920,46435,5490,6125,16535,20165,74020,67385,236155,54225,43310,66725,76385,17335,257980,38505,96770,106180,687585,79430,13760,1022230,7208855,17590,63060,94335,1113320,563005,1851310,35745,23965,190050,66700,316460,21820,25450,26510,35215,33745,142740,47030,29155,229590,104220,273245,683240,108780,126890,143190,47740,24570,451170,17130,102405,131235,234780,393390,878940,155485,520390,462045,345815,337875,153760,1975370,150205,150205,6449435,24193210,1.9,광주전남청
대전,11350,86945,569055,40450,70215,133255,911270,40430,644645,54325,43940,274835,61630,70975,207080,1462420,48200,158270,430035,3496785,1312005,109275,77425,617655,400995,88960,129495,599785,1097165,323980,166025,658885,5581650,1181890,307430,201645,436050,1221980,340675,136360,35535,64875,100410,144330,467030,693300,1446035,2750695,23195,106065,94100,61550,32875,317785,63580,30325,225860,35790,355555,144815,530335,105510,551245,1331905,8682380,26370,31960,98050,244895,327750,729025,709020,63500,71760,119250,963530,17230,11820,11940,53410,94400,558735,49380,197255,831495,1636865,141605,104880,15750,51655,483420,265175,67780,1130265,53670,68420,54260,48385,6710,231445,37250,26400,127365,31265,18395,240675,13035,17910,10205,52585,435990,,529725,255250,686550,659930,15465,48255,45900,15560,1726910,129410,2320,309740,19380,77420,26400,55670,620340,66000,35740,47520,66765,20590,236615,82070,121690,89600,240080,86005,22495,641940,8781735,39165,23720,339870,1081180,643695,2127630,60220,60910,262730,78960,462820,21870,62015,119050,29885,413285,646105,151330,81185,158990,285915,881860,1559280,748855,198700,650950,355050,14820,1968375,15200,65085,82770,164460,216085,543600,225160,204245,187090,245575,456345,68280,1386695,38380,38380,8732885,36186705,2.8,대전충남청
울산,260,12635,160760,23340,18825,87060,302880,32635,378035,49420,30160,9810,100580,179525,8920,667610,188265,62830,147995,1855785,347250,49190,138100,25675,96350,43805,178305,49310,3628870,92525,111610,311690,5072680,4196910,66190,303560,462060,251685,306805,364195,12790,151700,164490,3174860,3942190,712575,312390,8142015,8300,26265,33460,9705,75920,153650,24165,12665,12585,24840,74255,27490,76285,244870,178230,526875,15012690,12510,4220,16530,3268235,181655,3483150,825775,8685,15255,31945,881660,13700,85875,38975,100130,238680,83965,176155,136460,170320,566900,51090,133505,15110,24060,43150,28020,17315,312250,20820,23300,28135,32590,71725,176570,18670,23215,213355,16175,5945,277360,5090,6605,6660,55595,2943260,,3017210,589310,1503220,7013430,40865,24220,14465,5820,9191330,60625,1170,5640,6910,8350,22540,111980,217215,28165,24725,31800,19625,3640,107955,28345,250100,70765,287010,80135,15625,731980,19202260,3570,22705,352470,1330235,629565,2338545,14265,37355,45305,121685,218610,10080,145630,20340,19240,18710,214000,36195,64970,207580,203710,269380,781835,78415,71770,87940,74260,6680,319065,35365,170385,124760,211830,360340,902680,43500,283810,422125,313240,314815,160115,1537605,287725,287725,6600065,48046360,3.8,부산울산청
경기,15705,25745,1070595,264915,211810,526350,2115120,227210,3126635,117385,403040,218275,221745,50160,91625,3108580,197955,201795,1184380,9148785,2151340,467830,621200,852765,714785,645000,936255,3530410,36319725,1614620,1930770,4818180,54602880,10826345,1485925,1520000,1835145,2174035,2680825,1445705,399210,1506830,1906040,3295715,72557200,31171455,1744055,108768425,63250,193610,73615,104850,41485,476810,82540,87230,122330,140155,432255,165375,163250,616740,607075,1552440,135103950,18000,235835,106430,2405275,3187070,5952610,8747065,97800,112935,105660,9063460,168875,69860,129500,105015,473250,222560,85925,119985,1133140,1561610,103000,180920,34985,56230,139625,124970,17810,657540,105005,174245,325730,97850,63750,766580,70665,88225,70275,62710,64705,356580,15530,58500,38510,118040,2435275,,2665855,3396650,23112855,10706910,5375290,133940,145235,92905,42963785,203605,26810,72125,44450,38035,76415,1179485,1640925,381205,109445,193630,191390,39105,914775,190500,206515,548900,3971620,293835,114390,5325760,72342730,123855,322355,867825,5509055,4714130,11537220,209810,302235,943880,505610,1961535,287045,388705,294430,303250,266110,1539540,294780,402085,447650,1074345,2294940,4513800,121030,151375,92015,258055,71030,693505,84045,243785,466340,632715,770235,2197120,289440,653100,492925,478170,459135,285320,2658090,227820,227820,25328630,298642095,23.5,경기청
강원,5115,4040,126035,28790,7440,104095,275515,17715,194955,12265,16225,12905,17995,23815,12895,362735,31770,45645,109980,858900,440540,82815,54500,242850,111205,131360,105350,246140,879710,252995,204520,342725,3094710,952360,498130,463095,367210,370910,300100,228250,66400,110180,176580,61550,164165,363580,620185,1209480,24335,49155,66910,110580,50255,301235,72800,77165,100375,51345,301685,70965,81090,136625,518115,806795,5975830,6525,43325,21115,86625,544270,701860,777645,75770,159245,90470,1103130,43325,151155,190265,87505,472250,65930,92075,72335,201640,431980,27730,86600,35705,31190,94905,78325,25345,379800,52490,82035,72180,80130,290,287125,26815,31125,27335,67285,43325,195885,10240,37630,24645,83820,247860,,404195,107720,611155,171855,53185,23705,36780,13445,1017845,89305,8380,19800,19515,76280,61430,163410,438120,94790,53895,82530,106020,29930,367165,51155,130785,104290,141605,113045,22370,563250,6362605,6855,71935,204890,452745,434805,1171230,47645,99125,262155,428530,837455,35635,62510,198180,117665,32580,446570,141620,35475,176445,57480,213765,624785,57745,69000,57960,54870,13090,252665,18740,89585,87345,114950,71525,382145,19525,340305,78460,147940,123020,57580,766830,15825,15825,4497505,21065065,1.7,강원청
