pid,hid2016,area_siz2016,gender2016,age_gr2016,age2016,mob_use2016,mob_num2016,mob_csp2016,mob_dev2016,c01_gr2016,c02_gr2016,c03_gr2016,c04_gr2016,c05_gr2016,sns_use2016,freq_sns12016,news_med12016,news_med22016,news_med32016,news_plat12016,news_plat22016,news_plat32016,year2016,hid2017,area_siz2017,gender2017,age_gr2017,age2017,mob_use2017,mob_num2017,mob_csp2017,mob_dev2017,c01_gr2017,c02_gr2017,c03_gr2017,c04_gr2017,c05_gr2017,sns_use2017,freq_sns12017,news_med12017,news_med22017,news_med32017,news_plat12017,news_plat22017,news_plat32017,year2017,hid2018,area_siz2018,gender2018,age_gr2018,age2018,mob_use2018,mob_num2018,mob_csp2018,mob_dev2018,c01_gr2018,c02_gr2018,c03_gr2018,c04_gr2018,c05_gr2018,sns_use2018,freq_sns12018,news_med12018,news_med22018,news_med32018,news_plat12018,news_plat22018,news_plat32018,year2018,hid2019,area_siz2019,gender2019,age_gr2019,age2019,mob_use2019,mob_num2019,mob_csp2019,mob_dev2019,c01_gr2019,c02_gr2019,c03_gr2019,c04_gr2019,c05_gr2019,sns_use2019,freq_sns12019,news_med12019,news_med22019,news_med32019,news_plat12019,news_plat22019,news_plat32019,year2019
10001,100,1,1,5,49,1,1,2,1, , , , , ,1,16,1,2, ,1,3, ,2016,100,1,1,6,50,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,100,1,1,6,51,1,1,2,1, , , , , ,1,16,3, , ,3, , ,2018,100,1,1,6,52,1,1,1,1, , ,1, , ,1,15,3,4, ,3,2, ,2019
10002,100,1,2,5,44,1,1,1,1, , , , , ,1,16, , , , , , ,2016,100,1,2,5,45,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,100,1,2,5,46,1,1,1,1,1, , ,1,1,1,16, , , , , , ,2018,100,1,2,5,47,1,1,1,1, , ,1,1, ,1,15,3,4, ,3,2, ,2019
20001,200,1,1,6,51,1,1,1,1, , , , , ,2, ,2,3, ,3,2, ,2016,200,1,1,6,52,1,1,2,1, , , , , ,1,16, , , , , , ,2017,200,1,1,6,53,1,1,2,1, , , , , ,1,16, , , , , , ,2018,200,1,1,6,54,1,1,3,1, , , , , ,1,16,4, , ,3, , ,2019
30001,300,1,1,5,45,1,1,3,2, , , , , ,2, ,2, , ,3, , ,2016,300,1,1,5,46,1,1,3,2, , , , , ,2, , , , , , , ,2017,300,1,1,5,47,1,1,3,2, , , , , ,2, ,3, , ,3, , ,2018,300,1,1,5,48,1,1,2,2, , , , , ,2, ,3, , ,3, , ,2019
30002,300,1,2,5,42,1,1,4,1, , , , , ,1,16, , , , , , ,2016,300,1,2,5,43,1,1,4,1, , , , , ,2, , , , , , , ,2017,300,1,2,5,44,1,1,1,2, , , , , ,2, , , , , , , ,2018,300,1,2,5,45,1,1,2,2, , , , , ,2, , , , , , , ,2019
30003,300,1,1,2,14,1,1,4,1, , , , , ,1,16, , , , , , ,2016,300,1,1,2,15,1,1,4,1, , , , , ,2, , , , , , , ,2017,300,1,1,2,16,1,1,2,3, , , , , ,2, ,3, , ,3, , ,2018,300,1,1,2,17,1,1,2,2, , , , , ,2, , , , , , , ,2019
30004,300,1,1,1,8,1,0, , , , , , , ,2, , , , , , , ,2016,300,1,1,1,9,1,0, , , , , , , ,2, , , , , , , ,2017,300,1,1,2,10,1,0, , , , , , , ,2, , , , , , , ,2018,300,1,1,2,11,1,0, , , , , , , ,2, , , , , , , ,2019
40002,400,1,2,5,40,1,1,1,1, , , , , ,2, , , , , , , ,2016,400,1,2,5,41,1,1,1,1, , , , , ,2, ,3,4,2,3,3,3,2017,400,1,2,5,42,1,1,1,1, , , , , ,2, , , , , , , ,2018,400,1,2,5,43,1,1,1,1, , , , , ,2, , , , , , , ,2019
40003,400,1,1,2,10,1,0, , , , , , , ,2, , , , , , , ,2016,400,1,1,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2017,400,1,1,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2018,400,1,1,2,13,1,1,1,1, , , , , ,2, , , , , , , ,2019
40004,400,1,2,1,9,1,1,1,1, , , , , ,2, , , , , , , ,2016,400,1,2,2,10,1,1,1,2, , , , , ,2, , , , , , , ,2017,400,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2018,400,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2019
50001,500,1,1,5,44,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016,500,1,1,5,45,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,500,1,1,5,46,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2018,500,1,1,5,47,2, , , , , , , , ,2, ,2, , ,3, , ,2019
50002,500,1,2,4,39,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016,500,1,2,5,40,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,500,1,2,5,41,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2018,500,1,2,5,42,1,1,1,1, , , , , ,2, ,4, , ,3, , ,2019
50003,500,1,2,2,10,1,0, , , , , , , ,2, , , , , , , ,2016,500,1,2,2,11,1,1,4,1, , , , , ,2, , , , , , , ,2017,500,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2018,500,1,2,2,13,1,1,1,1, , , , , ,2, , , , , , , ,2019
50004,500,1,2,1,9,2,0, , , , , , , ,2, , , , , , , ,2016,500,1,2,2,10,1,1,4,1, , , , , ,2, , , , , , , ,2017,500,1,2,2,11,1,1,1,3, , , , , ,2, , , , , , , ,2018,500,1,2,2,12,1,1,1,1, , , , , ,2, , , , , , , ,2019
60001,600,1,1,5,47,1,1,1,1, , , , , ,1,16,2, , ,3, , ,2016,600,1,1,5,48,1,1,1,4, , , , , ,2, , , , , , , ,2017,600,1,1,5,49,1,1,1,4, , ,1, , ,2, ,3,2, ,3,3, ,2018,600,1,1,6,50,1,1,1,2, , , , , ,2, ,2,3, ,3,3, ,2019
60002,600,1,2,5,43,1,1,1,1, , , , , ,1,12, , , , , , ,2016,600,1,2,5,44,1,1,1,1, , , , , ,1,12, , , , , , ,2017,600,1,2,5,45,1,1,1,1, , , , , ,1,2,3,2, ,3,3, ,2018,600,1,2,5,46,1,1,1,1, , , , , ,2, ,3,2, ,3,3, ,2019
60003,600,1,2,2,15,1,1,1,2, , , , , ,1,1, , , , , , ,2016,600,1,2,2,16,1,1,1,4, , , , , ,1,1, , , , , , ,2017,600,1,2,2,17,1,1,1,4, , , , ,2,1,1, , , , , , ,2018,600,1,2,2,18,1,1,1,1, , , , , ,1,1, , , , , , ,2019
60004,600,1,2,2,10,1,1,1,2, , , , , ,2, , , , , , , ,2016,600,1,2,2,11,1,1,1,1, , , , , ,2, , , , , , , ,2017,600,1,2,2,12,1,1,1,1, , , , , ,1,16, , , , , , ,2018,600,1,2,2,13,1,1,1,1, , , , , ,1,15, , , , , , ,2019
80001,800,1,1,7,66,1,0, , , , , , , ,2, , , , , , , ,2016,800,1,1,7,67,1,0, , , , , , , ,2, , , , , , , ,2017,800,1,1,7,68,1,0, , , , , , , ,2, , , , , , , ,2018,800,1,1,7,69,1,0, , , , , , , ,2, , , , , , , ,2019
90001,900,1,1,6,53,1,0, , , , , , , ,2, ,1,2, ,1,3, ,2016,900,1,1,6,54,1,1,1,1, , ,3, , ,2, , , , , , , ,2017,900,1,1,6,55,1,1,1,1, , ,3, , ,2, ,1,3, ,1,3, ,2018,900,1,1,6,56,1,1,1,1, , ,3, , ,2, , , , , , , ,2019
100001,1000,1,1,4,37,1,1,2,2, , , ,3, ,1,2,3,4,2,3,3,3,2016,1000,1,1,4,38,1,1,2,3, , , , , ,1,2,2,1,3,3,1,4,2017,1000,1,1,4,39,1,1,2,3, ,3, ,2, ,1,2,3,1,3,3,1,4,2018,1000,1,1,5,40,1,1,2,3, , ,3,3, ,1,2,2,1,4,3,1,3,2019
100002,1000,1,2,4,37,1,1,2,2, , , , , ,1,2, , , , , , ,2016,1000,1,2,4,38,1,1,2,3, , , , , ,1,2, , , , , , ,2017,1000,1,2,4,39,1,1,2,3, , , , , ,1,2,3,1,3,3,1,4,2018,1000,1,2,5,40,1,1,2,1, , , , , ,1,16,4, , ,3, , ,2019
120002,1200,1,2,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2016,1200,1,2,6,51,1,1,2,1,1,1,1,1, ,2, ,3, , ,3, , ,2017,1200,1,2,6,52,1,1,3,1, , ,1, , ,2, ,3, , ,3, , ,2018,1200,1,2,6,53,1,1,2,1, , , , , ,1,1,3,2, ,3,3, ,2019
