영화코드,영화명,개봉일,매출액,관객수,스크린수,상영횟수,개봉연도,개봉월
20090834,아바타,17,81455728000,8151952,714,111860,2009,12
20100214,아저씨,4,47101332000,6178248,501,109853,2010,8
20100312,인셉션,21,44309381800,5937741,772,89880,2010,7
20090904,의형제,4,40153729000,5416812,569,118243,2010,2
20090933,아이언맨 2,29,32635195500,4425003,921,87665,2010,4
20090077,전우치,23,26345113000,3611472,556,73175,2009,12
20100209,이끼,14,25437300500,3350303,740,58198,2010,7
20100296,포화속으로,16,23831958600,3330324,742,80091,2010,6
20090914,하모니,28,21641750000,3018131,384,77723,2010,1
20090927,방자전,2,22490024000,2985483,495,67562,2010,6
20100370,솔트,29,21360288000,2869938,556,53679,2010,7
20100213,부당거래,28,20996302500,2722996,502,69703,2010,10
20100834,시라노; 연애조작단,16,19838369000,2684783,415,77736,2010,9
20100018,타이탄,1,21796996500,2642483,694,87911,2010,4
20100190,드래곤 길들이기,20,27040606000,2562412,563,57264,2010,5
20101224,해리 포터와 죽음의 성물1,15,16974636000,2396988,717,40463,2010,12
20100188,하녀,13,17038639000,2267556,555,59621,2010,5
20100310,나잇&데이,24,16777869600,2243484,494,54797,2010,6
20100333,슈렉 포에버,1,22809145100,2223851,561,51317,2010,7
20090930,이상한 나라의 앨리스,4,20334399500,2147012,397,58393,2010,3
20101010,초능력자,10,15374489000,2130606,612,58000,2010,11
20100361,이클립스,7,14945720000,2069246,535,46355,2010,7
20101221,쩨쩨한 로맨스,1,15338827000,2009586,450,46199,2010,12
20100193,페르시아의 왕자: 시간의 모래,27,14483501000,1970823,567,51307,2010,5
20090923,퍼시 잭슨과 번개 도둑,11,13158158500,1846180,334,43667,2010,2
20100305,해결사,9,13844624000,1843404,525,59325,2010,9
20100301,악마를 보았다,12,13919416500,1817063,490,42721,2010,8
20090951,로빈 후드,13,11560588500,1570681,544,41953,2010,5
20100833,무적자,16,11629780500,1546132,412,46186,2010,9
20101222,황해,22,11524115000,1497242,618,23295,2010,12
20100377,토이 스토리 3,5,14319338600,1458865,393,28615,2010,8
20090931,구르믈 버서난 달처럼,28,10241716500,1383867,506,48314,2010,4
20100767,라스트 에어벤더,19,13854892500,1371164,399,32416,2010,8
20101223,헬로우 고스트,22,22056966500,3019780,890,57578,2010,12
20090939,육혈포 강도단,18,8651186000,1214237,319,51941,2010,3
