pid,hid,area_siz,gender,age_gr,age,mob_use,mob_num,mob_csp,mob_dev,c01_gr,c02_gr,c03_gr,c04_gr,c05_gr,sns_use,freq_sns1,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,year
10001,100,1,1,5,49,1,1,2,1, , , , , ,1,16,1,2, ,1,3, ,2016
10002,100,1,2,5,44,1,1,1,1, , , , , ,1,16, , , , , , ,2016
20001,200,1,1,6,51,1,1,1,1, , , , , ,2, ,2,3, ,3,2, ,2016
30001,300,1,1,5,45,1,1,3,2, , , , , ,2, ,2, , ,3, , ,2016
30002,300,1,2,5,42,1,1,4,1, , , , , ,1,16, , , , , , ,2016
30003,300,1,1,2,14,1,1,4,1, , , , , ,1,16, , , , , , ,2016
30004,300,1,1,1,8,1,0, , , , , , , ,2, , , , , , , ,2016
40001,400,1,1,4,39,1,1,3,1, , , , , ,2, ,4,2, ,3,3, ,2016
40002,400,1,2,5,40,1,1,1,1, , , , , ,2, , , , , , , ,2016
40003,400,1,1,2,10,1,0, , , , , , , ,2, , , , , , , ,2016
40004,400,1,2,1,9,1,1,1,1, , , , , ,2, , , , , , , ,2016
50001,500,1,1,5,44,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
50002,500,1,2,4,39,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
50003,500,1,2,2,10,1,0, , , , , , , ,2, , , , , , , ,2016
50004,500,1,2,1,9,2,0, , , , , , , ,2, , , , , , , ,2016
60001,600,1,1,5,47,1,1,1,1, , , , , ,1,16,2, , ,3, , ,2016
60002,600,1,2,5,43,1,1,1,1, , , , , ,1,12, , , , , , ,2016
60003,600,1,2,2,15,1,1,1,2, , , , , ,1,1, , , , , , ,2016
60004,600,1,2,2,10,1,1,1,2, , , , , ,2, , , , , , , ,2016
80001,800,1,1,7,66,1,0, , , , , , , ,2, , , , , , , ,2016
90001,900,1,1,6,53,1,0, , , , , , , ,2, ,1,2, ,1,3, ,2016
90002,900,1,2,5,47,1,1,1,1, , , , , ,2, ,1,2, ,1,3, ,2016
100001,1000,1,1,4,37,1,1,2,2, , , ,3, ,1,2,3,4,2,3,3,3,2016
100002,1000,1,2,4,37,1,1,2,2, , , , , ,1,2, , , , , , ,2016
110001,1100,1,1,6,56,1,1,2,1, , , , , ,2, , , , , , , ,2016
110002,1100,1,2,6,57,1,1,2,1, , , , , ,2, , , , , , , ,2016
110003,1100,1,2,3,25,1,1,2,1, , , , , ,2, , , , , , , ,2016
110004,1100,1,1,3,24,1,1,2,3, , , , , ,1,2, , , , , , ,2016
120002,1200,1,2,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2016
120003,1200,1,1,3,25,1,1,2,1, , , , , ,1,2,4, , ,3, , ,2016
120004,1200,1,2,3,23,1,1,1,3, , , , , ,1,1, , , , , , ,2016
130001,1300,1,1,7,69,1,1,2,1, , , , , ,2, , , , , , , ,2016
130002,1300,1,2,7,66,1,1,2,1, , , , , ,2, , , , , , , ,2016
150001,1500,1,1,5,46,1,1,1,1, , , , , ,2, , , , , , , ,2016
150002,1500,1,2,5,43,1,1,1,1, , , , , ,2, , , , , , , ,2016
160001,1600,1,1,7,65,1,1,1,1, , , , , ,2, , , , , , , ,2016
160002,1600,1,2,7,64,1,1,2,2, , , , , ,2, , , , , , , ,2016
170001,1700,1,2,7,69,1,1,3,2, , , , , ,2, , , , , , , ,2016
180001,1800,1,2,5,49,1,1,2,1, , , , , ,2, , , , , , , ,2016
190001,1900,1,1,5,45,1,1,1,1, , , , , ,2, , , , , , , ,2016
190002,1900,1,2,5,44,1,1,1,1, , , , , ,2, , , , , , , ,2016
200001,2000,1,1,8,86,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2016
200002,2000,1,2,8,75,1,1,2,1, , , , , ,2, , , , , , , ,2016
210001,2100,1,1,7,67,1,1,3,1, , , , , ,2, , , , , , , ,2016
210002,2100,1,2,7,64,1,1,3,1, , , , , ,2, , , , , , , ,2016
220001,2200,1,1,7,64,1,1,1,1, , , , , ,2, , , , , , , ,2016
220002,2200,1,2,7,62,1,1,1,1, , , , , ,2, , , , , , , ,2016
230001,2300,1,1,6,55,1,1,1,1, , , , , ,2, ,1, , ,1, , ,2016
230002,2300,1,2,7,61,1,1,1,1, , , , , ,2, , , , , , , ,2016
240001,2400,1,1,8,75,1,1,3,1, , , , , ,2, , , , , , , ,2016
240002,2400,1,2,8,71,1,1,3,1, , , , , ,2, , , , , , , ,2016
250001,2500,1,2,8,95,1,0, , , , , , , ,2, , , , , , , ,2016
250002,2500,1,1,5,42,1,1,1,1, , , , , ,2, , , , , , , ,2016
260001,2600,1,1,6,55,1,1,1,1, , , , , ,2, , , , , , , ,2016
260002,2600,1,2,6,53,1,1,1,1, , , , , ,2, , , , , , , ,2016
270001,2700,1,1,7,62,1,1,1,1, , , , , ,2, , , , , , , ,2016
270002,2700,1,2,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2016
280001,2800,1,2,8,83,1,0, , , , , , , ,2, , , , , , , ,2016
290001,2900,1,2,7,61,1,1,3,2, , , , , ,2, , , , , , , ,2016
290002,2900,1,1,6,54,1,1,1,1, , , , , ,2, , , , , , , ,2016
290003,2900,1,2,4,31,1,1,1,1, , , , , ,1,1, , , , , , ,2016
300001,3000,1,2,6,53,1,1,1,1, , , , , ,2, , , , , , , ,2016
300002,3000,1,2,3,26,1,1,1,1, , , , , ,1,2, , , , , , ,2016
300003,3000,1,2,3,29,1,1,1,1, , , , , ,1,1, , , , , , ,2016
300004,3000,1,1,3,27,1,1,1,1, , , , , ,1,12, , , , , , ,2016
310001,3100,1,1,6,57,1,1,2,1, , , , , ,2, , , , , , , ,2016
310002,3100,1,2,6,53,1,0, , , , , , , ,2, , , , , , , ,2016
310003,3100,1,2,3,24,1,1,1,1, , , , , ,1,1, , , , , , ,2016
310004,3100,1,2,3,22,1,1,1,1, , , , , ,1,1, , , , , , ,2016
320001,3200,1,1,8,80,2,0, , , , , , , ,2, , , , , , , ,2016
320002,3200,1,2,8,79,1,0, , , , , , , ,2, , , , , , , ,2016
330001,3300,1,2,8,77,1,0, , , , , , , ,2, , , , , , , ,2016
340001,3400,1,1,6,52,1,1,1,1, , , , , ,2, , , , , , , ,2016
340002,3400,1,2,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2016
340003,3400,1,1,3,25,1,1,1,1,1,1,1, , ,1,2, , , , , , ,2016
350001,3500,1,1,7,61,1,1,1,1, , , , , ,2, , , , , , , ,2016
350003,3500,1,2,7,62,1,1,1,1, , , , , ,2, , , , , , , ,2016
360001,3600,1,1,5,44,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
360002,3600,1,2,4,39,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
370001,3700,1,1,5,47,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
370002,3700,1,2,5,47,1,1,2,1, , , , , ,1,12,3, , ,3, , ,2016
380001,3800,1,1,4,39,1,1,2,1, , , , , ,1,12,4, , ,3, , ,2016
380002,3800,1,2,4,37,1,1,2,1, , , , , ,1,12, , , , , , ,2016
390001,3900,1,2,5,48,1,1,1,1, , , , , ,1,12,3, , ,3, , ,2016
390002,3900,1,2,3,22,1,1,1,3, , , , , ,1,2,3, , ,3, , ,2016
390003,3900,1,1,2,19,1,1,3,4, , , , , ,1,2,3, , ,3, , ,2016
390004,3900,1,1,5,49,1,1,3,1, , , ,2, ,1,12,3,2, ,3,3, ,2016
400002,4000,1,2,6,55,1,1,3,2, , , , , ,1,12,3, , ,3, , ,2016
410002,4100,1,2,6,51,1,1,1,1, , , , , ,1,12, , , , , , ,2016
420001,4200,1,1,4,36,1,1,2,1, , ,8,2, ,1,12,3, , ,3, , ,2016
420002,4200,1,2,4,36,1,1,1,1, , ,2,2, ,1,12, , , , , , ,2016
420003,4200,1,1,1,9,1,0, , , , , , , ,2, , , , , , , ,2016
430001,4300,1,1,4,35,1,1,1,1, , , , , ,1,16, , , , , , ,2016
430002,4300,1,2,4,35,1,1,1,1, , , , , ,2, , , , , , , ,2016
430003,4300,1,1,1,7,1,0, , , , , , , ,2, , , , , , , ,2016
440001,4400,1,1,6,54,1,1,3,2, , , , , ,2, ,4,2, ,3,3, ,2016
440002,4400,1,2,6,51,1,0, , , , , , , ,2, , , , , , , ,2016
440003,4400,1,2,3,26,1,1,1,2, , , , , ,2, , , , , , , ,2016
440004,4400,1,2,3,23,1,1,3,3, , , ,2, ,1,2, , , , , , ,2016
450001,4500,1,1,5,41,1,1,2,1, , , , , ,2, , , , , , , ,2016
450002,4500,1,2,4,39,1,1,2,1, , , , , ,1,2, , , , , , ,2016
450003,4500,1,2,2,10,1,0, , , , , , , ,2, , , , , , , ,2016
450004,4500,1,2,2,10,1,0, , , , , , , ,2, , , , , , , ,2016
450005,4500,1,2,1,8,2,0, , , , , , , ,2, , , , , , , ,2016
460001,4600,1,1,5,44,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
460002,4600,1,2,5,40,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
470001,4700,1,1,6,54,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
470002,4700,1,2,8,80,1,0, , , , , , , ,2, , , , , , , ,2016
470003,4700,1,2,5,47,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
480001,4800,1,1,8,76,1,0, , , , , , , ,2, , , , , , , ,2016
480002,4800,1,2,8,70,1,0, , , , , , , ,2, , , , , , , ,2016
490001,4900,1,2,6,52,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
490003,4900,1,1,3,21,1,1,2,1, , , ,2, ,2, ,3, , ,3, , ,2016
500001,5000,1,2,6,55,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
510001,5100,1,2,8,72,1,0, , , , , , , ,2, , , , , , , ,2016
520001,5200,1,1,6,55,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
