pid,hid,area,area_siz,hhld_siz,fly_typ,gender,byear,age_gr,age,marry,income_gr,job,job_type,job_etc,mob_use,mob_num,mob_csp,mob_dev,c01,c01_gr,c02,c02_gr,c03,c03_gr,c04,c04_gr,c05,c05_gr,app_pay,appin_pay,app_num,app_num_gr,appin_num,appin_gr,c06,c06_gr,freq_app1,freq_app2,freq_app3,sns_use,freq_sns1,freq_sns2,freq_sns3,cmt_board,wt_board,wt_news,rating,wt_wiki,wt_sns,rating_sns,sns_read,sns_write,sns_share,sns_eng,sns_priv,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,channel,shop,shop_dev,shop_pay
10001,100,1,1,3,3,1,1967,6,52,2,11,1,2, ,1,1,1,1, , , , ,0,1, , , , ,2,1, , ,5,2,10,3,11,8,6,1,15,2,23,3,2,2,2,1,2,2,4,7,7,7,2,3,4, ,3,2, ,1,1,1,2
10002,100,1,1,3,3,2,1972,5,47,2,1,2, ,2,1,1,1,1, , , , ,0,1,0,1, , ,2,1, , ,6,2,12,3,11,16,18,1,15,2,1,3,2,1,1,1,2,1,6,6,6,6,2,3,4, ,3,2, ,3,1,1,2
20001,200,1,1,3,3,1,1965,6,54,2,11,1,1, ,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,12,8,11,1,16,23, ,1,1,1,1,1,1,1,6,7,7,7,2,4, , ,3, , ,7, , , 
30001,300,8,1,3,3,1,1971,5,48,2,9,1,1, ,1,1,2,2, , , , , , , , , , ,2,1, , ,1,1,6,2,19,8,11,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
30002,300,8,1,3,3,2,1974,5,45,2,1,2, ,2,1,1,2,2, , , , , , , , , , ,2,1, , ,2,1,6,2,17,19,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,3,1
30003,300,8,1,3,3,1,2002,2,17,1,1,2, ,1,1,1,2,2, , , , , , , , , , ,2,2, , , , , , ,19,17,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,8, , , 
30004,300,8,1,3,3,1,2008,2,11,1,1,2, ,1,1,0, , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
40002,400,8,1,3,3,2,1976,5,43,2,6,1,3, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,11,6,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,8, , , 
40003,400,8,1,3,3,1,2006,2,13,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,2,16,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
40004,400,8,1,3,3,2,2007,2,12,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,17,18,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
50001,500,8,1,3,3,1,1972,5,47,2,14,1,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , ,2, , ,3, , ,7, , , 
50002,500,8,1,3,3,2,1977,5,42,2,1,2, ,2,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,5,6,11,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,1,1,1,4
50003,500,8,1,3,3,2,2006,2,13,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,1,3,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
50004,500,8,1,3,3,2,2007,2,12,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,1,3,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
60001,600,8,1,3,3,1,1969,6,50,2,10,1,1, ,1,1,1,2, , , , , , , , , , ,2,1, , ,6,2,10,3,11,17,19,2, , , ,1,1,1,1,1,1,1, , , , , ,2,3, ,3,3, ,1,1,3,1
60002,600,8,1,3,3,2,1973,5,46,2,4,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,3,11,18,2, , , ,1,1,1,1,1,1,1, , , , , ,3,2, ,3,3, ,6, , , 
60003,600,8,1,3,3,2,2001,2,18,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,3,11,10,1,1,23, ,4,3,1,1,1,6,6,1,2,1,1,1, , , , , , ,1, , , 
