기간	자치구	합계	합계	합계	시장	시장	시장	시장	시장	시장	시장	시장	시장
기간	자치구	합계	합계	합계	등록시장	등록시장	등록시장	인정시장	인정시장	인정시장	상점가	상점가	상점가
기간	자치구	개소	점포수	판매면적	개소	점포수	판매면적	개소	점포수	판매면적	개소	점포수	판매면적
2018	합계	308	57,584	2,368,668	131	29,859	806,919	115	16,657	954,425	62	11,068	607,324
2018	종로구	21	10,738	243,941	8	7,159	119,560	6	713	19,207	7	2,866	105,174
2018	중구	38	21,693	371,210	15	15,613	214,859	17	4,780	67,973	6	1,300	88,378
2018	용산구	7	555	29,772	3	135	15,518	4	420	14,254	-	-	-
2018	성동구	9	2,225	48,702	2	277	3,989	2	1,446	25,837	5	502	18,876
2018	광진구	12	652	83,187	7	140	21,359	5	512	61,828	-	-	-
2018	동대문구	19	2,546	196,678	8	653	40,702	11	1,893	155,976	-	-	-
2018	중랑구	12	1,077	114,613	6	393	25,530	5	597	84,120	1	87	4,963
2018	성북구	10	562	50,974	4	62	13,231	6	500	37,743	-	-	-
2018	강북구	12	824	41,265	8	425	19,099	4	399	22,166	-	-	-
2018	도봉구	7	502	31,805	1	30	2,623	5	405	22,597	1	67	6,585
2018	노원구	6	529	48,104	-	-	-	2	192	33,530	4	337	14,574
2018	은평구	13	1,054	45,323	8	491	18,199	3	282	8,130	2	281	18,994
2018	서대문구	12	837	59,988	6	394	25,128	2	134	9,795	4	309	25,065
2018	마포구	15	1,368	105,191	8	363	44,125	3	296	35,481	4	709	25,585
2018	양천구	8	484	20,789	3	38	5,972	5	446	14,817	-	-	-
2018	강서구	12	762	61,617	6	87	14,769	5	571	33,520	1	104	13,328
2018	구로구	9	664	36,338	5	267	20,502	4	397	15,836	-	-	-
2018	금천구	9	928	78,237	3	42	2,521	3	371	38,442	3	515	37,274
2018	영등포구	18	3,398	216,696	7	2,001	115,585	1	87	2,974	10	1,310	98,137
2018	동작구	10	710	65,014	4	146	16,723	5	456	44,063	1	108	4,228
2018	관악구	16	998	78,860	11	455	34,707	4	343	27,038	1	200	17,115
2018	서초구	6	772	21,400	2	118	6,085	-	-	-	4	654	15,315
2018	강남구	10	1,568	114,522	4	400	15,911	1	130	39,954	5	1,038	58,657
2018	송파구	7	1,008	161,567	1	65	3,871	5	591	111,846	1	352	45,850
2018	강동구	10	1,130	42,875	1	105	6,351	7	696	27,298	2	329	9,226
