시도,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,178,180,183,183,184,186,188,188,189
부산,83,80,79,80,81,81,81,81,82
대구,56,51,50,50,50,50,51,52,52
인천,81,79,79,79,79,80,80,80,80
광주,45,46,47,47,48,48,48,49,49
대전,40,37,37,37,37,38,38,38,38
울산,34,34,35,36,37,37,38,39,39
세종,0,0,4,5,9,9,12,12,13
경기,324,332,342,344,352,362,364,366,367
강원,89,89,88,86,86,86,86,86,85
충북,48,47,46,47,46,46,47,47,47
충남,82,79,72,72,72,72,73,73,71
전북,92,91,92,91,94,94,94,94,94
전남,106,97,90,85,83,78,78,77,77
경북,129,126,124,121,121,119,117,115,113
경남,146,141,137,136,137,138,139,137,137
제주,21,20,20,21,21,21,22,22,22
